reach_length_HR,reach_length_py
0.40903,0.051763878
0.41025,0.051763874
0.41022,0.051763878
0.41023,0.051763885
0.41023,0.07017395
0.05548,0.08858403
0,0.08858403
0.43208,0.08858403
0.43208,0.088584045
0.43208,0.333671997
0.43208,0.335950531
0.43248,0.093141113
0.30481,0.093141113
0.30482,0.093141113
0.30481,0.093141052
0.30482,0.093141052
0.04572,0.093141113
0.04572,0.093141113
0.07468,0.093141052
0.05336,0.093141052
0.04629,0.093141113
0.01671,0.093141113
0.05856,0.093141113
0,0.11839563
0.019202,0.220395142
0.019202,0.28176001
0.019202,0.266379883
0.019202,0.328125
0.019202,0.4275
0.019202,0.376800049
0.019202,0.29663501
0.019202,0.304800049
0.019202,0.339294922
0.019202,0.304804932
0.019202,0.258449951
0.019202,0.304804932
0.019202,0.378210205
0.019202,0.404774902
0.017864,0.355030029
0.017864,0.385840088
0.017864,0.36470166
0.017864,0.286123291
0.017864,0.286123047
0.017864,0.34655127
0.017864,0.230239746
0.017864,0.244890137
0.017864,0.378790039
0.01104,0.289067383
0.01104,0.256834961
0.04907,0.264232422
0,0.177240234
0.12024,0.18320752
0.019675,0.196487305
0.019675,0.062720215
0.019675,0.200820312
0.019675,0.339450195
0.019675,0.322609863
0.019675,0.328370117
0.019675,0.337125
0.019675,0.295899902
0.019675,0.222359863
0.019675,0.222359863
0.019675,0.242625488
0.019675,0.262890137
0.019675,0.329864746
0.01868,0.285674805
0.01868,0.216797363
0.01868,0.259084961
0.01868,0.253184082
0.01868,0.247283203
0.01868,0.247283203
0.01868,0.255706543
0.01868,0.313149902
0.01868,0.285519531
0.01868,0.276075195
0.017276,0.266640625
0.017276,0.304804688
0.017276,0.276459961
0.017276,0.303709961
0.017276,0.282354492
0.017276,0.145700195
0.017276,0.134830078
0.018927,0.221040039
0.018927,0.27281543
0.018927,0.219552734
0.018927,0.266695312
0.018927,0.261333008
0.018927,0.211799805
0.018927,0.108864258
0.018927,0.066759766
0.018927,0.081025391
0.018927,0.099240234
0.018927,0.160174805
0.018927,0.170334961
0.018927,0.093285156
0.018927,0.078770508
0.018927,0.063456055
0.018927,0.02922168
0.019116,0.029222656
0.019116,0.04222168
0.019116,0.184179688
0.019116,0.188030273
0.019116,0.072860352
0.019116,0.087318359
0.019116,0.095079102
0.019116,0.114805664
0.019116,0.214274414
0.019116,0.197109375
0.019116,0.093822266
0.019116,0.047537109
0.019116,0.018919922
0.019116,0.033621094
0.019116,0.088326172
0.019116,0.100719727
0.019116,0.071417969
0.08395,0.088522461
0.22154,0.233929687
